st_reg_id,st_source_url,st_sci_title,,drugs_tested,drug_classes,classification,confidence,reason_proof,n_drugs,n_drug_rows
CTIS2024-516174-30-01,https://euclinicaltrials.eu/search-for-clinical-trials/?lang=en&EUCT=2024-516174-30-01,Investigation of pregabalin therapy and complex rehabilitation in treating chronic fatigue associated with post-COVID syndrome - NIGRIR_001POSTCOVID,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
CTIS2024-516378-31-00,,"Phase II proof-of-concept, randomized, double-blind, placebo-controlled study to evaluate the efficacy and safety of plitidepsin in adults with post-COVID-19 Condition (PCC) - THALASSA 2.0",,"['dexamethasone', 'famotidine', 'other', 'plitidepsin']","['Broad‑spectrum & host‑directed antivirals', 'Other symptomatic & supportive agents', 'Systemic corticosteroids', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,4,4
CTIS2024-516463-84-00,https://euclinicaltrials.eu/search-for-clinical-trials/?lang=en&EUCT=2024-516463-84-00,Randomised placebo controlled clinical trial of efficacy of MYOcardial protection in postacute inFLAMmatory cardiac involvEment due to COVID-19 (MYOFLAME-19) - MYOFLAME-19,,"['potassium', 'prednisolone']","['Other symptomatic & supportive agents', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?acute\b.*\bcovid\b,2,2
CTRI/2020/11/029305,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=48195,Clarithromycin in post Covid parenchymal organizing pneumonia - an open labelled randomized control trial - PCOVID,,['clarithromycin'],['Macrolides / repurposed anti‑infectives'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
CTRI/2021/09/036442,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=60448,Pirfenidone in Post COVID-19 lung fibrosis treatment(PirfeCT): a pilot randomised study - PirfeCT,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
CTRI/2022/04/041704,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=67459,Randomized Controlled Trial of the Efficacy of ProGenX in the Resolution of Post-COVID Fatigue & Immune status,,"['avasopasem manganese', 'other', 'resveratrol / copper', 'selenium', 'vitamin a', 'vitamin b', 'vitamin c', 'zinc (any salt)']","['Other symptomatic & supportive agents', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,8,8
CTRI/2022/06/043444,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=65544,A randomized controlled study to assess the effect of Ã¢??ShirodharaÃ¢?? as an add-on therapy on the post Covid common mental  disorders (Depression and Anxiety) in Covid-19 survivors.,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
CTRI/2022/07/043679,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=68333,Antihistamines for treatment of Long COVID Ã¢?? A placebo controlled double blinded Randomized Controlled Trial,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
CTRI/2023/10/058736,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=92221,STANDARD CONTROLLED COMPARATIVE CLINICAL STUDY TO ASSESS THE EFFICACY OF ADJUVANT EFFECT OF SARPHAGANDGA GHANA VATI WITH MODERN ANTI HYPERTENSIVE DRUGS IN POST COVID HYPERTENSION. - NIL,,"['other', 'telmisartan']","['Metabolic / cardiometabolic agents', 'Other symptomatic & supportive agents']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,2,2
CTRI/2024/01/061987,,"Comparing Effectiveness of Physiotherapy versus Drug Management on Fatigue, Physical Functioning, and Episodic Disability for Myalgic Encephalomyelitis in Post-COVID-19 Condition - PCCPT",,"['azithromycin', 'favipiravir', 'hydrocortisone', 'infliximab', 'other', 'remdesivir', 'rituximab', 'siltuximab', 'tocilizumab']","['Biologic cytokine / receptor blockers', 'IL‑6 receptor blockers', 'Macrolides / repurposed anti‑infectives', 'Other symptomatic & supportive agents', 'RdRp inhibitors', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,9,9
CTRI/2024/04/065969,http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=103649,A clinical evaluation of severity and management of peri-implantitis around dental implant in post COVID 19 patients- Randomized control trial - NIL,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
ChiCTR2300067758,https://www.chictr.org.cn/showproj.html?proj=188667,"Efficacy and tolerability of 0.2% hyaluronic acid and 2% ectoin topical eye drops, Vitamin A ointment, and lid wipe in post-COVID Meibomian Gland Dysfunction (MGD): a 3-arm randomized clinical trial",,"['other', 'vitamin a']","['Other symptomatic & supportive agents', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,2,2
ChiCTR2300067971,https://www.chictr.org.cn/showproj.html?proj=189999,Clinical study on acupoint catgut embedding therapy for residual cough after post-acute swquelae of COVID-19,,['methotrexate'],['Small‑molecule immunosuppressants / DMARDs'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?acute\b.*\bcovid\b,1,1
ChiCTR2300070566,https://www.chictr.org.cn/showproj.html?proj=195726,"A randomized, controlled trial of ozone therapy for Post-COVID-19 Condition (long COVID)",,['oxygen'],['Respiratory & hemodynamic support'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
ChiCTR2400095046,https://www.chictr.org.cn/showproj.html?proj=194192,Vitamin D supplementation improves Long COVID: a randomized controlled trial,,['vitamin d'],['Vitamins & supplements'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
ChiCTR2500109969,https://www.chictr.org.cn/showproj.html?proj=287067,Clinical research on the safety and efficacy of low-pressure oxygen supplementation in the treatment of post-COVID-19 syndrome,,['oxygen'],['Respiratory & hemodynamic support'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
DRKS00029617,http://www.drks.de/DRKS00029617,"Prednisolone and vitamin B1, B6, and B12 in patients with Post-COVID-19-Syndrome (PC19S) â€"" a randomized controlled trial in primary care - PreVitaCOV",,"['prednisolone', 'vitamin b', 'vitamin b12']","['Systemic corticosteroids', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,3,3
DRKS00031515,http://drks.de/search/en/trial/DRKS00031515,Effect of normobaric intermittent hypoxia-hyperoxia in patients with post-acute-COVID-19 syndrome,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?acute\b.*\bcovid\b,1,1
DRKS00032237,http://drks.de/search/en/trial/DRKS00032237,"Prospective, exploratory, randomized, controlled, double-blind, phase IIa clinical trial in a cross-over design to evaluate the safety and tolerability and potential clinical effects of BC007 in patients with post-COVID syndrome. - reCOVer",,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
DRKS00037519,http://drks.de/search/en/trial/DRKS00037519,Treatment effect of intermittent hypoxia-hyperoxia therapy (IHHT) on physical and cognitive performance in post-COVID patients - IHHT,,['oxygen'],['Respiratory & hemodynamic support'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
EUCTR2021-002610-14-DK,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2021-002610-14,"Mestinon and Salbutamol Tolerability and Efficacy as therapy for Post-COVID-19 Myopathy - A randomized, placebo-controlled, rater and subject-blinded, 2x2 crossover study.   - MASTER-PCM",,"['other', 'pyridostigmine']",['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,2,2
EUCTR2022-001041-20-DE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2022-001041-20,"Prednisolone and vitamin B1, B6, and B12 in patients with Post-COVID-19-Syndrome (PC19S) â€"" a randomized controlled trial in primary care - PreVitaCOV",,"['prednisolone', 'vitamin b', 'vitamin b12']","['Systemic corticosteroids', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,3,3
EUCTR2022-001682-12-AT,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2022-001682-12,Randomised placebo controlled clinical trial of efficacy of MYOcardial protection in patients with postacute inFLAMmatory cardiac involvEment due to COVID-19 (MYOFLAME-19) - MYOFLAME-19,,"['losartan', 'prednisolone']","['Metabolic / cardiometabolic agents', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?acute\b.*\bcovid\b,2,2
EUCTR2022-001781-35-DE,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2022-001781-35,"Prospective, explorative, randomized, controlled, double-blind, cross-over phase IIa clinical trial to investigate safety and tolerability as well as potential clinical effects of BC007 in patients with post-COVID syndrome - reCOVer",,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
IRCT20220526054990N1,http://en.irct.ir/trial/63831,Evaluation of the effect of fluvoxamine in preventing neuropsychiatric symptoms of Long COVID syndrome,,,,Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,0,0
IRCT20221229056979N1,http://en.irct.ir/trial/67746,Investigating the effect of vitamin B1 oral tablets on the post covid-19 syndrome in comparison with the control group,,"['famotidine', 'vitamin b', 'vitamin c', 'zinc (any salt)']",['Vitamins & supplements'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,4,4
ITMCTR2024000263,http://itmctr.ccebtcm.org.cn/en-US/Home/ProjectView?pid=d978bcb8-2708-4a55-848f-3513ed81eead,A clinical randomized controlled trial study on the treatment of the Post COVID-19 pulmonary fibrosis from the the pulmonary micro-membrane theory,,"['acetylcysteine', 'prednisone']","['Other symptomatic & supportive agents', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,2,2
JPRN-UMIN000043537,https://upload.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000049715,Post COVID-19 Anosmia treatments - Anosmia treatments,,"['corticosteroids (unspecified)', 'other', 'saline']","['Other symptomatic & supportive agents', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,3,3
JPRN-UMIN000050726,https://center6.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000057796,Effects of Kampo medicines on the persistent cough of long COVID-19 - Improvement of post-COVID-19 prolonged cough with Kampo medicines,,"['corticosteroids (unspecified)', 'other']","['Other symptomatic & supportive agents', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,2,2
JPRN-jRCTs031230470,,Efficacy and safety of clomipramine for post COVID-19 condition: exploratory research,,['s-217622 or pf-07817883'],['3CL protease inhibitors'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
JPRN-jRCTs051230184,https://jrct.niph.go.jp/latest-detail/jRCTs051230184,Research Evaluation of Safety and Impact in Long COVID Intervention with Ensitrelvir for National Cohort Efficacy - RESILIENCE study,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
KCT0009342,https://cris.nih.go.kr/cris/search/detailSearchEn.do?seq=26609,Exploratory double-blind randomized placebo-controlled trial of Metformin and Ursodeoxycholic acid (UDCA) to treat post-acute sequelae of SARS-CoV-2 infection (PASC),,"['metformin', 'other']","['Biguanides', 'Other symptomatic & supportive agents']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpasc\b,2,2
NCT04534478,https://clinicaltrials.gov/show/NCT04534478,"Randomized, Open, Parallel, Single-center, Non-inferiority Clinical Trial, With an Active Control Group, Comparing Two Oral Prednisone Regimens With the Aim of Optimizing the Therapeutic Strategy in Patients With Organizing Pneumonia Post-COVID-19 Infection",,['prednisone'],['Systemic corticosteroids'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT04551781,https://clinicaltrials.gov/show/NCT04551781,Short Term Low Dose Corticosteroids for Management of Post Covid-19 Pulmonary Fibrosis,,['prednisone'],['Systemic corticosteroids'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT04607928,https://clinicaltrials.gov/show/NCT04607928,Phase-II Randomized Clinical Trial to Evaluate the Effect of Pirfenidone Compared to Placebo in Post-COVID19 Pulmonary Fibrosis,,"['corticosteroids (unspecified)', 'pirfenidone']","['Small‑molecule immunosuppressants / DMARDs', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid[-\s]?19\b,2,2
NCT04652518,https://clinicaltrials.gov/show/NCT04652518,"A Phase 2 Randomized, Double-blind, Placebo-controlled Trial and Open Label Extension to Evaluate the Safety and Efficacy of Deupirfenidone (LYT-100) in Post-acute COVID-19 Respiratory Disease",,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?acute\b.*\bcovid\b,1,1
NCT04695704,https://clinicaltrials.gov/show/NCT04695704,"Double-blind Randomized Clinical Trial, Placebo-controlled to Assess the Efficacy of Montelukast in Mild-moderate Respiratory Symptoms in Patients With Long-COVID-19: E-SPERANZA COVID-19 PROJECT",,['montelukast'],['Respiratory & hemodynamic support'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
NCT04705831,https://clinicaltrials.gov/show/NCT04705831,"A Randomized, Double Blind, Placebo Controlled, Cross-Over, Proof-of-Concept Study to Evaluate the Benefit of RUCONEST (C1 Esterase Inhibitor [Recombinant]) in Improving Neurological Symptoms in Post-SARS-CoV-2 Infection",,['human c1-esterase inhibitor'],['Innate immune modulators and others'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?sars[-\s]?cov[-\s]?2\b,1,1
NCT04777981,https://clinicaltrials.gov/show/NCT04777981,Efficacy of Cannabidiol in Combination With Red Algae (CBDRA60) to Prevent or Reduce Symptoms of COVID-19 and Post-Acute Sequelae of SARS-CoV-2 Infection PASC,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpasc\b,1,1
NCT04809974,https://clinicaltrials.gov/show/NCT04809974,"Randomized, Placebo-controlled Parallel Group Clinical Trial of Nicotinamide Riboside to Evaluate NAD+ Levels in Individuals With Persistent Cognitive and Physical Symptoms After COVID-19 Illness (""""Long-COVID"""")",,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
NCT04818489,https://clinicaltrials.gov/show/NCT04818489,Impact of Colchicine on the Clinical Outcome of COVID-19 and the Development of Post-COVID-19 Pulmonary Fibrosis: Randomized Controlled Clinical Trial,,['colchicine'],['Microtubule inhibitor anti‑inflammatory'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT04842448,https://clinicaltrials.gov/show/NCT04842448,"Hyperbaric Oxygen for Treatment of Long COVID Syndrome; A Randomized, Placebo-Controlled, Double-Blind, Phase II Clinical Trial",,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
NCT04904536,https://clinicaltrials.gov/show/NCT04904536,"An International, Investigator Initiated and Conducted, Pragmatic Clinical Trial to Determine Whether 40mg Atorvastatin Daily Can Improve Neurocognitive Function in Adults With Long COVID Neurological Symptoms",,['atorvastatin'],['Statins'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
NCT04947488,https://clinicaltrials.gov/show/NCT04947488,"Evaluation of the Effects of Treatment With Bioarginin C on Physical Exhaustion , Systemic Inflammatory State and Endothelial Function in Adult Subjects Belonging to the Post-Covid Day Hospital",,['vitamin c'],['Vitamins & supplements'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT04951362,https://clinicaltrials.gov/show/NCT04951362,Studying the Expected Effect of Ivermectin Nanosuspension as Nasal Spray Upon Post covid19 Persistant Anosmia,,"['corticosteroids (unspecified)', 'ivermectin']","['Macrocyclic lactones', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid[-\s]?19\b,2,2
NCT04978259,https://clinicaltrials.gov/show/NCT04978259,Long-term Follow-up of a Randomized Multicenter Trial on Impact of Long-COVID in Hospitalized COVID-19 Patients,,['remdesivir'],['RdRp inhibitors'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
NCT04988282,https://clinicaltrials.gov/show/NCT04988282,Systemic Corticosteroids in Treatment of Post-COVID-19 Interstitial Lung Disease,,['methylprednisolone'],['Systemic corticosteroids'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT05047952,https://clinicaltrials.gov/show/NCT05047952,"Randomized, Double-Blinded, Placebo-Controlled Study Evaluating Vortioxetine for Cognitive Deficits in Persons With Post-COVID-19 Syndrome",,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT05104424,https://clinicaltrials.gov/show/NCT05104424,"The Study of Quadruple Therapy Intranasal Insulin, Zinc, Gabapentin, Ice Cube Stimulation for Post Covid-19 Smell and Taste Dysfunctions",,"['insulin', 'other', 'zinc (any salt)']","['Biguanides', 'Other symptomatic & supportive agents', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,3,3
NCT05152849,https://clinicaltrials.gov/show/NCT05152849,"A Randomized, Double-Blind, Placebo-Controlled Pilot Study to Evaluate the Efficacy, Safety, and Tolerability of AXA1125 in Subjects With Fatigue-Predominant Post-Acute Sequelae of SARS-CoV-2 (PASC) Infection",,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpasc\b,1,1
NCT05184192,https://clinicaltrials.gov/show/NCT05184192,Efficacy of Gabapentin for Post-Covid-19 Olfactory Dysfunction,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT05212831,https://clinicaltrials.gov/show/NCT05212831,Portable Oxygen Concentrator (POC) Versus Standard of Care in Patients With Long-COVID Cognitive Impairment: a Randomized Crossover Exploratory Pilot Study.,,['oxygen'],['Respiratory & hemodynamic support'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,1,1
NCT05220280,https://clinicaltrials.gov/show/NCT05220280,Long-term Follow-up of a Randomized Multicenter Trial on Impact of Imatinib and Infliximab on Long-COVID in Hospitalized COVID-19 Patients,,"['imatinib', 'infliximab']","['Biologic cytokine / receptor blockers', 'Other TK / multi‑kinase inhibitors']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,2,2
NCT05269017,https://clinicaltrials.gov/show/NCT05269017,The Potential Therapeutic Effect of Vitamin D Nasal Drops in the Treatment of Post COVID Parosmia,,"['budesonide', 'vitamin d']","['Inhaled corticosteroids', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,2,2
NCT05269030,https://clinicaltrials.gov/show/NCT05269030,The Potential Therapeutic Effect of Ivermectin Nasal Drops in the Treatment of Post COVID Parosmia,,"['budesonide', 'ivermectin']","['Inhaled corticosteroids', 'Macrocyclic lactones']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,2,2
NCT05274477,https://clinicaltrials.gov/show/NCT05274477,Randomized Placebo-controlled Phase II Cross-over Study on the Influence of Fampridine on Working Memory in Individuals With Post COVID-19 Condition With Subjective Cognitive Impairment,,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT05350774,https://clinicaltrials.gov/show/NCT05350774,Immunotherapy for Neurological Post-Acute Sequelae of SARS-CoV-2 (IN-PASC),,"['immunoglobulin', 'methylprednisolone']","['Convalescent plasma', 'Systemic corticosteroids']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpasc\b,2,2
NCT05356936,https://clinicaltrials.gov/show/NCT05356936,Pilot Study of Vitamin K2 (MK-7) and Vitamin D3 Supplementation and the Effects on PASC Symptomatology and Inflammatory Biomarkers,,"['other', 'vitamin d']","['Other symptomatic & supportive agents', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpasc\b,2,2
NCT05371288,https://clinicaltrials.gov/show/NCT05371288,The Role of Glutathione Deficiency and MSIDS Variables in Long COVID-19,,"['acetylcysteine', 'alpha-lipoic acid', 'glutathione', 'magnesium sulfate', 'other']","['Other symptomatic & supportive agents', 'Vitamins & supplements']",Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \blong[\s-]?covid\b,5,5
NCT05371925,https://clinicaltrials.gov/show/NCT05371925,"Endothelial Protection in Post COVID-19 Patients. The Effect of Sulodexide on Serum Levels of Biomarkers for Endothelial Dysfunction. A Prospective, Randomized, Placebo-controlled, Investigator-initiated Trial",,['other'],['Other symptomatic & supportive agents'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
NCT05430152,https://clinicaltrials.gov/show/NCT05430152,A Double Blind Randomized Trial of Low-dose Naltrexone for Post-COVID Fatigue Syndrome,,['naltrexone'],['Small‑molecule immunosuppressants / DMARDs'],Long COVID / PASC (Definite),High,Title contains explicit post-acute term matched by pattern: \bpost[\s-]?covid\b,1,1
